mnemonic,addressing_mode,opcode,length,time,page_boundary_increase
"ADC","imm","$69",2,2,0
"ADC","zp","$65",2,3,0
"ADC","zp,x","$75",2,4,0
"ADC","abs","$6D",3,4,0
"ADC","abs,x","$7D",3,4,1
"ADC","abs,y","$79",3,4,1
"ADC","ind,x","$61",2,6,0
"ADC","ind,y","$71",2,5,1
"AND","imm","$29",2,2,0
"AND","zp","25",2,3,0
"AND","zp,x","$35",2,4,0
"AND","abs","$2D",3,4,0
"AND","abs,x","$3D",3,4,1
"AND","abs,y","$39",3,4,1
"AND","ind,x","$21",2,6,0
"AND","ind,y","$31",2,5,1
"ASL","a","$0A",1,2,0
"ASL","zp","$06",2,5,0
"ASL","zp,x","$16",2,6,0
"ASL","abs","$0E",3,6,0
"ASL","abs,x","$1E",3,7,0
"BIT","zp","$24",2,3,0
"BIT","abs","$2C",3,4,0
"BPL","rel","$10",2,2,1
"BMI","rel","$30",2,2,1
"BVC","rel","$50",2,3,0
"BVS","rel","$70",2,2,1
"BCC","rel","$90",2,2,1
"BCS","rel","$B0",2,2,1
"BNE","rel","$D0",2,2,1
"BEQ","rel","$F0",2,2,1
"BRK","impl","$00",1,7,0
"CMP","imm","$C9",2,2,0
"CMP","zp","$C5",2,3,0
"CMP","zp,x","$D5",2,4,0
"CMP","abs","$CD",3,4,0
"CMP","abs,x","$DD",3,4,1
"CMP","abs,y","$D9",3,4,1
"CMP","ind,x","$C1",2,6,0
"CMP","ind,y","$D1",2,5,1
"CPX","imm","$E0",2,2,0
"CPX","zp","$E4",2,3,0
"CPX","abs","$EC",3,4,0
"CPY","imm","$C0",2,2,0
"CPY","zp","$C4",2,3,0
"CPY","abs","$CC",3,4,0
"DEC","zp","$C6",2,5,0
"DEC","zp,x","$D6",2,6,0
"DEC","abs","$CE",3,6,0
"DEC","abs,x","$DE",3,7,0
"EOR","imm","$49",2,2,0
"EOR","zp","$45",2,3,0
"EOR","zp,x","$55",2,4,0
"EOR","abs","$4D",3,4,0
"EOR","abs,x","$5D",3,4,1
"EOR","abs,y","$59",3,4,1
"EOR","ind,x","$41",2,6,0
"EOR","ind,y","$51",2,5,1
"CLC","impl","$18",1,2,0
"SEC","impl","$38",1,2,0
"CLI","impl","$58",1,2,0
"SEI","impl","$78",1,2,0
"CLV","impl","$B8",1,2,0
"CLD","impl","$D8",1,2,0
"SED","impl","$F8",1,2,0
"INC","zp","$E6",2,5,0
"INC","zp,x","$F6",2,6,0
"INC","abs","$EE",3,6,0
"INC","abs,x","$FE",3,7,0
"JMP","abs","$4C",3,3,0
"JMP","ind","$6C",3,5,0
"JSR","abs","$20",3,6,0
"LDA","imm","$A9",2,2,0
"LDA","zp","$A5",2,3,0
"LDA","zp,x","$B5",2,4,0
"LDA","abs","$AD",3,4,0
"LDA","abs,x","$BD",3,4,1
"LDA","abs,y","$B9",3,4,1
"LDA","ind,x","$A1",2,6,0
"LDA","ind,y","$B1",2,5,1
"LDX","imm","$A2",2,2,0
"LDX","zp","$A6",2,3,0
"LDX","zp,y","$B6",2,4,0
"LDX","abs","$AE",3,4,0
"LDX","abs,y","$BE",3,4,1
"LDY","imm","$A0",2,2,0
"LDY","zp","$A4",2,3,0
"LDY","zp,x","$B4",2,4,0
"LDY","abs","$AC",3,4,0
"LDY","abs,x","$BC",3,4,1
"LSR","a","$4A",1,2,0
"LSR","zp","$46",2,5,0
"LSR","zp,x","$56",2,6,0
"LSR","abs","$4E",3,6,0
"LSR","abs,x","$5E",3,7,0
"NOP","impl","$EA",1,2,0
"ORA","imm","$09",2,2,0
"ORA","zp","$05",2,3,0
"ORA","zp,x","15",2,4,0
"ORA","abs","$0D",3,4,0
"ORA","abs,x","$1D",3,4,1
"ORA","abs,y","$19",3,4,1
"ORA","ind,x","$01",2,6,0
"ORA","ind,y","$11",2,5,1
"TAX","impl","$AA",1,2,0
"TXA","impl","$8A",1,2,0
"DEX","impl","$CA",1,2,0
"INX","impl","$E8",1,2,0
"TAY","impl","$A8",1,2,0
"TYA","impl","$98",1,2,0
"DEY","impl","$88",1,2,0
"INY","impl","$C8",1,2,0
"ROL","a","$2A",1,2,0
"ROL","zp","26",2,5,0
"ROL","zp,x","$36",2,6,0
"ROL","abs","$2E",3,6,0
"ROL","abs,x","$3E",3,7,0
"ROR","a","$6A",1,2,0
"ROR","zp","66",2,5,0
"ROR","zp,x","$76",2,6,0
"ROR","abs","$6E",3,6,0
"ROR","abs,x","$7E",3,7,0
"RTI","impl","$40",1,6,0
"RTS","impl","$60",1,6,0
"SBC","imm","$E9",2,2,0
"SBC","zp","$E5",2,3,0
"SBC","zp,x","$F5",2,4,0
"SBC","abs","$ED",3,4,0
"SBC","abs,x","$FD",3,4,1
"SBC","abs,y","$F9",3,4,1
"SBC","ind,x","$E1",2,6,0
"SBC","ind,y","$F1",2,5,1
"STA","zp","$85",2,3,0
"STA","zp,x","$95",2,4,0
"STA","abs","$8D",3,4,0
"STA","abs,x","$9D",3,5,0
"STA","abs,y","$99",3,5,0
"STA","ind,x","$81",2,6,0
"STA","ind,y","$91",2,6,0
"TXS","impl","$9A",1,2,0
"TSX","impl","$BA",1,2,0
"PHA","impl","$48",1,3,0
"PLA","impl","$68",1,4,0
"PHP","impl","$08",1,3,0
"PLP","impl","$28",1,4,0
"STX","zp","$86",2,3,0
"STX","zp,y","$96",2,4,0
"STX","abs","$8E",3,4,0
"STY","zp","$84",2,3,0
"STY","zp,x","$94",2,4,0
"STY","abs","$8C",3,4,0
